t,x,y,z
8.627843799859701335e+01,5.000000000000000000e+03,-4.313921899929850952e+03,5.000000000000000000e+02
8.767002570825179930e+01,5.000000000000000000e+03,-4.383501285412589823e+03,5.000000000000000000e+02
8.906161341790659947e+01,5.000000000000000000e+03,-4.453080670895329604e+03,5.000000000000000000e+02
9.045320112756138542e+01,5.000000000000000000e+03,-4.522660056378069385e+03,5.000000000000000000e+02
9.184478883721617137e+01,5.000000000000000000e+03,-4.592239441860808256e+03,5.000000000000000000e+02
9.323637654687095733e+01,5.000000000000000000e+03,-4.661818827343548037e+03,5.000000000000000000e+02
9.462796425652575749e+01,5.000000000000000000e+03,-4.731398212826287818e+03,5.000000000000000000e+02
9.601955196618054345e+01,5.000000000000000000e+03,-4.800977598309027599e+03,5.000000000000000000e+02
9.741113967583532940e+01,5.000000000000000000e+03,-4.870556983791766470e+03,5.000000000000000000e+02
9.880272738549012956e+01,5.000000000000000000e+03,-4.940136369274506251e+03,5.000000000000000000e+02
1.001943150951449155e+02,5.000000000000000000e+03,-5.009715754757246032e+03,5.000000000000000000e+02
1.015859028047997015e+02,5.000000000000000000e+03,-5.079295140239984903e+03,5.000000000000000000e+02
1.029774905144545016e+02,5.000000000000000000e+03,-5.148874525722724684e+03,5.000000000000000000e+02
1.043690782241092876e+02,5.000000000000000000e+03,-5.218453911205464465e+03,5.000000000000000000e+02
1.057606659337640735e+02,5.000000000000000000e+03,-5.288033296688203336e+03,5.000000000000000000e+02
1.071522536434188737e+02,5.000000000000000000e+03,-5.357612682170944026e+03,5.000000000000000000e+02
1.085438413530736597e+02,5.000000000000000000e+03,-5.427192067653682898e+03,5.000000000000000000e+02
1.099354290627284456e+02,5.000000000000000000e+03,-5.496771453136422679e+03,5.000000000000000000e+02
1.113270167723832458e+02,5.000000000000000000e+03,-5.566350838619162460e+03,5.000000000000000000e+02
1.127186044820380317e+02,5.000000000000000000e+03,-5.635930224101901331e+03,5.000000000000000000e+02
1.141101921916928177e+02,5.000000000000000000e+03,-5.705509609584641112e+03,5.000000000000000000e+02
1.155017799013476179e+02,5.000000000000000000e+03,-5.775088995067380893e+03,5.000000000000000000e+02
1.168933676110024038e+02,5.000000000000000000e+03,-5.844668380550119764e+03,5.000000000000000000e+02
1.182849553206571898e+02,5.000000000000000000e+03,-5.914247766032859545e+03,5.000000000000000000e+02
1.196765430303119899e+02,5.000000000000000000e+03,-5.983827151515599326e+03,5.000000000000000000e+02
1.210681307399667759e+02,5.000000000000000000e+03,-6.053406536998339107e+03,5.000000000000000000e+02
1.224597184496215618e+02,5.000000000000000000e+03,-6.122985922481077978e+03,5.000000000000000000e+02
1.238513061592763620e+02,5.000000000000000000e+03,-6.192565307963817759e+03,5.000000000000000000e+02
1.252428938689311479e+02,5.000000000000000000e+03,-6.262144693446557540e+03,5.000000000000000000e+02
1.266344815785859339e+02,5.000000000000000000e+03,-6.331724078929296411e+03,5.000000000000000000e+02
1.280260692882407341e+02,5.000000000000000000e+03,-6.401303464412037101e+03,5.000000000000000000e+02
1.294176569978955058e+02,5.000000000000000000e+03,-6.470882849894775063e+03,5.000000000000000000e+02
1.308092447075503060e+02,5.000000000000000000e+03,-6.540462235377515753e+03,5.000000000000000000e+02
1.322008324172051061e+02,5.000000000000000000e+03,-6.610041620860255534e+03,5.000000000000000000e+02
1.335924201268598779e+02,5.000000000000000000e+03,-6.679621006342993496e+03,5.000000000000000000e+02
1.349840078365146780e+02,5.000000000000000000e+03,-6.749200391825734187e+03,5.000000000000000000e+02
1.363755955461694782e+02,5.000000000000000000e+03,-6.818779777308473967e+03,5.000000000000000000e+02
1.377671832558242500e+02,5.000000000000000000e+03,-6.888359162791212839e+03,5.000000000000000000e+02
1.391587709654790501e+02,5.000000000000000000e+03,-6.957938548273952620e+03,5.000000000000000000e+02
1.405503586751338503e+02,5.000000000000000000e+03,-7.027517933756692400e+03,5.000000000000000000e+02
1.419419463847886220e+02,5.000000000000000000e+03,-7.097097319239431272e+03,5.000000000000000000e+02
1.433335340944434222e+02,5.000000000000000000e+03,-7.166676704722171053e+03,5.000000000000000000e+02
1.447251218040982224e+02,5.000000000000000000e+03,-7.236256090204910834e+03,5.000000000000000000e+02
1.461167095137529941e+02,5.000000000000000000e+03,-7.305835475687649705e+03,5.000000000000000000e+02
1.475082972234077943e+02,5.000000000000000000e+03,-7.375414861170389486e+03,5.000000000000000000e+02
1.488998849330625944e+02,5.000000000000000000e+03,-7.444994246653130176e+03,5.000000000000000000e+02
1.502914726427173662e+02,5.000000000000000000e+03,-7.514573632135868138e+03,5.000000000000000000e+02
1.516830603523721663e+02,5.000000000000000000e+03,-7.584153017618607919e+03,5.000000000000000000e+02
1.530746480620269665e+02,5.000000000000000000e+03,-7.653732403101348609e+03,5.000000000000000000e+02
1.544662357716817382e+02,5.000000000000000000e+03,-7.723311788584086571e+03,5.000000000000000000e+02
1.558578234813365384e+02,5.000000000000000000e+03,-7.792891174066827261e+03,5.000000000000000000e+02
1.572494111909913386e+02,5.000000000000000000e+03,-7.862470559549567042e+03,5.000000000000000000e+02
1.586409989006461103e+02,5.000000000000000000e+03,-7.932049945032305914e+03,5.000000000000000000e+02
1.600325866103009105e+02,5.000000000000000000e+03,-8.001629330515045694e+03,5.000000000000000000e+02
