x,px,y,py,l,delta
-2.2602366485113066e-22,-6.229527417560849e-25,0.0,0.0,-1.534835668845386e-11,-3.4512044488253854e-28
2.768001228976067e-22,5.927543782864637e-25,0.0,0.0,-1.5415199291665866e-11,-3.4716674539481805e-28
7.29131333326771e-23,-1.7100706873508055e-24,0.0,0.0,-1.5479488618212927e-11,-3.4914157587224074e-28
-1.2893892035975717e-22,6.230989217461382e-25,0.0,0.0,-1.5541346459414736e-11,-3.510562208895768e-28
3.732487579015324e-22,-5.728172842768101e-25,0.0,0.0,-1.5600887739653163e-11,-3.528899919001681e-28
-1.9611227613414459e-22,-1.0439482578610568e-24,0.0,0.0,-1.565822096007943e-11,-3.546880280645123e-28
1.5926224407400382e-22,9.10435880247899e-25,0.0,0.0,-1.5713448609085377e-11,-3.5642587873203573e-28
1.8124077025564696e-22,-1.5479585744920063e-24,0.0,0.0,-1.5766667542662964e-11,-3.581035444936079e-28
-2.1453363527088816e-22,2.7222471728791665e-25,0.0,0.0,-1.5817969337778658e-11,-3.597473557350231e-28
3.58246485564277e-22,1.3771110345553328e-27,0.0,0.0,-1.5867440623997726e-11,-3.613309814438016e-28
-1.2281275203533044e-22,-1.3720356571912043e-24,0.0,0.0,-1.5915163388196047e-11,-3.6285724334325572e-28
2.934081177119108e-23,1.0195475894461731e-24,0.0,0.0,-1.5961215258366555e-11,-3.643524724713954e-28
2.73319145273232e-22,-1.2093471689518308e-24,0.0,0.0,-1.6005669772877455e-11,-3.657959796429384e-28
-2.55211824221893e-22,-1.830241894544045e-25,0.0,0.0,-1.6048596624534713e-11,-3.6720469219234997e-28
2.9862714291895815e-22,5.155914747472059e-25,0.0,0.0,-1.6090061892283565e-11,-3.685607424256837e-28
-1.9651125709014855e-23,-1.5442508476995385e-24,0.0,0.0,-1.6130128257451432e-11,-3.6988293846873357e-28
-9.475743875658886e-23,9.143865711015265e-25,0.0,0.0,-1.6168855201749767e-11,-3.7117128047064035e-28
3.329102462413771e-22,-7.362431788835317e-25,0.0,0.0,-1.6206299197877665e-11,-3.724210659689257e-28
